ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-04-15,21128600.0,12.84000015258789,0.12,236.222,4424.53,26515.992,4447.954529977686,-23.42452997768669,-23.412762301942845,4424.541767675743
2015-04-16,16195300.0,12.600000381469727,0.12,236.222,4418.83,26515.992,4448.636691414759,-29.80669141475937,-29.808075810598403,4418.828615604161
2015-04-17,46514000.0,13.890000343322754,0.12,236.222,4351.8,26515.992,4378.900510123429,-27.10051012342865,24.134404731798146,4403.034914855227
2015-04-18,46514000.0,13.890000343322754,0.12,236.222,4400.402,26515.992,4356.946745957977,43.455254042022716,24.134404731798146,4381.081150689775
2015-04-19,46514000.0,13.890000343322754,0.12,236.222,4400.402,26515.992,4344.356711584406,56.04528841559386,24.134404731798146,4368.491116316204
2015-04-20,28945900.0,13.300000190734863,0.12,236.222,4417.4,26515.992,4390.213702922765,27.186297077234485,27.186908552417243,4417.400611475183
2015-04-21,22759800.0,13.25,0.12,236.222,4435.98,26515.992,4379.792384008914,56.187615991085295,56.185246951213834,4435.977630960128
2015-04-22,21429200.0,12.710000038146973,0.12,236.222,4460.81,26515.992,4393.6931856042975,67.11681439570293,67.1134342156616,4460.806619819959
2015-04-23,29473200.0,12.479999542236328,0.12,236.222,4477.07,26515.992,4407.428831987165,69.6411680128349,69.64223229745608,4477.071064284621
2015-04-24,32508100.0,12.289999961853027,0.12,236.222,4536.78,26515.992,4393.986109549481,142.79389045051903,113.35651274895665,4507.342622298437
2015-04-25,32508100.0,12.289999961853027,0.12,236.222,4465.607999999999,26515.992,4372.752970437721,92.8550295622781,113.35651274895665,4486.109483186678
2015-04-26,32508100.0,12.289999961853027,0.12,236.222,4465.607999999999,26515.992,4361.187296966789,104.42070303320997,113.35651274895665,4474.543809715746
2015-04-27,31121300.0,13.119999885559082,0.12,236.222,4525.04,26515.992,4344.197460679954,180.84253932004594,180.84185271024413,4525.039313390198
2015-04-28,36849200.0,12.40999984741211,0.12,236.222,4515.27,26515.992,4385.495464294977,129.77453570502348,129.77168699298286,4515.26715128796
2015-04-29,34043900.0,13.390000343322754,0.12,236.222,4488.15,26515.992,4312.7216301540075,175.42836984599217,175.42875088834106,4488.150381042348
2015-04-30,44080500.0,14.550000190734863,0.12,236.222,4414.25,26515.992,4250.996377272224,163.25362272777602,163.2534807598525,4414.249858032076
2015-05-01,32874300.0,12.699999809265137,0.12,237.001,4479.06,26515.992,4358.127157037218,120.93284296278216,140.40631203147214,4498.5334690686905
2015-05-02,32874300.0,12.699999809265137,0.12,237.001,4484.354,26515.992,4338.942238017307,145.41176198269295,140.40631203147214,4479.3485500487795
2015-05-03,32874300.0,12.699999809265137,0.12,237.001,4484.354,26515.992,4329.48120931751,154.87279068249063,140.40631203147214,4469.887521348982
2015-05-04,23507300.0,12.850000381469727,0.12,237.001,4482.61,26515.992,4345.101266291304,137.50873370869613,137.50484348504887,4482.606109776352
2015-05-05,47843300.0,14.3100004196167,0.12,237.001,4409.39,26515.992,4284.125160800715,125.26483919928523,125.26264705930407,4409.387807860019
2015-05-06,42687200.0,15.149999618530273,0.12,237.001,4379.75,26515.992,4219.050117306573,160.69988269342684,160.70107492841944,4379.751192234992
2015-05-07,29335800.0,15.130000114440918,0.12,237.001,4401.55,26515.992,4202.362651787558,199.18734821244198,199.1856201642707,4401.548271951829
2015-05-08,33023300.0,12.859999656677246,0.12,237.001,4458.65,26515.992,4312.569996278328,146.08000372167135,138.30935156915933,4450.879347847487
2015-05-09,33023300.0,12.859999656677246,0.12,237.001,4426.39,26515.992,4295.582177068845,130.807822931155,138.30935156915933,4433.891528638004
2015-05-10,33023300.0,12.859999656677246,0.12,237.001,4426.39,26515.992,4288.346361690418,138.0436383095821,138.30935156915933,4426.655713259577
2015-05-11,19679300.0,13.850000381469727,0.12,237.001,4438.64,26515.992,4254.078838169405,184.56116183059567,184.5670432818349,4438.64588145124
2015-05-12,33665000.0,13.859999656677246,0.12,237.001,4420.65,26515.992,4267.406788765566,153.24321123443406,153.24578098981362,4420.652569755379
2015-05-13,20738400.0,13.760000228881836,0.12,237.001,4426.56,26515.992,4250.296659416981,176.26334058301927,176.2696230668227,4426.566282483804
2015-05-14,23904200.0,12.739999771118164,0.12,237.001,4495.04,26515.992,4310.5988108202,184.44118917979995,184.43953647320836,4495.038347293408
2015-05-15,23937400.0,12.380000114440918,0.12,237.001,4494.29,26515.992,4310.53006594852,183.75993405147983,168.4500512491326,4478.980117197652
2015-05-16,23937400.0,12.380000114440918,0.12,237.001,4455.036,26515.992,4296.362899066035,158.67310093396463,168.4500512491326,4464.812950315168
2015-05-17,23937400.0,12.380000114440918,0.12,237.001,4455.036,26515.992,4292.120948671183,162.91505132881684,168.4500512491326,4460.570999920315
2015-05-18,17631100.0,12.729999542236328,0.12,237.001,4512.95,26515.992,4304.979764732279,207.97023526772045,207.96990581053944,4512.949670542819
2015-05-19,14212900.0,12.850000381469727,0.12,237.001,4503.72,26515.992,4297.139616466022,206.58038353397842,206.58245489840917,4503.722071364431
2015-05-20,21131900.0,12.880000114440918,0.12,237.001,4505.3,26515.992,4297.007933884045,208.2920661159551,208.29097480075225,4505.298908684797
2015-05-21,16771800.0,12.109999656677246,0.12,237.001,4529.47,26515.992,4338.907711726506,190.56228827349423,190.56230375708196,4529.470015483588
